id,red,green,blue,black,white,doble(1:yes, 0:no)
"107.5 -11.13",12543,192,277,995442,10124,0
"209.41 -3.58",118,177,288,1016827,1168,0
"78.15 -12.54",86,178,2813,1012210,3291,0
"186.97 -11.76",171,181,414,1017159,653,0
"86.78 +1.40",3284,184,2275,999589,13246,0
"155.35 -10.61",526,176,1295,1013899,2682,0
"343.07 +2.94",1877,186,1077,1012196,3242,0
"303.86 +2.59",5881,181,341,1001616,10559,0
"38.0 -8.25",1968,177,274,1011567,4592,0
"4.7 +19.40",9,191,12,1012946,5420,0
"239.96 -3.05",2062,184,1697,1012237,2398,0
"337.26 -7.74",319,180,165,1016705,1209,0
"151.81 -3.75",620,180,548,1014457,2773,0
"149.33 -0.25",457,177,538,1015899,1507,0
"208.51 -13.33",296,176,529,1015302,2275,0
"59.29 +13.85",1,191,1,1016438,1947,0
"285.31 +1.04",1496,177,1000,1010986,4919,0
"86.78 -9.53",238,183,26,1017955,176,0
"294.62 -14.18",5,201,5,1009040,9327,0
"93.44 -6.03",168,182,1757,1014415,2056,0
"350.76 +50.77",1,201,4,1001810,16562,0
"85.14 -14.00",339,181,2459,1009957,5642,0
"270.48 -7.15",1439,174,5786,1009914,1265,0
"296.45 +15.16",4,208,7,963679,54680,0
"174.58 +44.92",2,177,1,1017573,825,0
"117.86 -2.44",3466,182,672,1006607,7651,0
"353.68 -8.12",458,177,725,1014382,2836,0
"96.97 +39.15",3,207,7,1003147,15214,0
"171.12 -14.42",578,192,545,1014928,2335,0
"84.39 -13.18",304,180,1112,1013846,3136,0
"309.74 +17.89",7,249,16,977489,40817,0
"53.28 -6.60",633,180,696,1014708,2361,0
"196.77 -14.35",6,184,2,1017021,1365,0
"293.93 -8.79",71,184,8270,1006877,3176,0
"253.65 +0.52",1009,175,977,1014073,2344,0
"315.6 -0.78",2520,175,911,1009936,5036,0
"14.98 -7.92",1153,237,151230,865285,673,0
"93.11 -11.05",146,183,2104,1011857,4288,0
"309.78 +45.41",4,196,4,995315,23059,0
"289.26 -17.69",4,207,4,1001267,17096,0
"208.51 +2.95",94,231,825228,189009,4016,0
"301.88 +1.35",6032,184,1084,998638,12640,0
"332.37 -2.13",561,177,189,1016416,1235,0
"85.79 -7.91",64,181,724,1015048,2561,0
"203.6 +0.70",741,178,255,1015462,1942,0
"343.53 -3.74",245,182,215,1016074,1862,0
"244.87 -11.65",874,176,270,1013968,3290,0
"81.74 +43.13",1,180,3,1006792,11602,0
"66.38 +37.50",5,183,3,1017759,628,0
"182.35 +1.52",175,173,122,1016684,1424,0
"120.8 -2.28",2240,181,969,1008029,7159,0
"145.4 -1.33",1097,174,1094,1012333,3880,0
"277.34 -27.55",2,213,9,985793,32561,0
"341.83 -1.03",370,179,1268,1012769,3992,0
"338.84 -0.71",997,176,1789,1009216,6400,0
"220.78 -3.60",580,183,397,1014340,3078,0
"270.31 -18.11",1,182,1,958725,59669,0
"190.52 -6.45",1472,181,56,1015466,1403,0
"261.41 +3.15",1013,177,940892,55798,20698,0
"285.5 +0.24",7323,210,17907,958949,34189,0
"228.15 -1.59",2377,178,4559,1008815,2649,0
"286.73 -10.96",8406,213,2933,992225,14801,0
"196.76 -8.24",544,175,614,1014704,2541,0
"134.69 -2.48",780,175,539,1014218,2866,0
"82.42 -11.21",410,183,1141,1013987,2857,0
"203.47 -2.62",898,180,759,1015796,945,0
"87.41 -3.57",178,185,729,1015043,2443,0
"275.8 -0.98",433,178,7269,1008541,2157,0
"178.77 -4.37",193,179,110,1017365,731,0
"273.99 -2.49",1419,172,3446,1011079,2462,0
"44.38 -6.29",558,175,560,1016153,1132,0
"96.58 +33.94",2,216,11,1005047,13302,0
"80.72 -12.17",292,176,1740,1011097,5273,0
"189.49 +0.86",281,183,174,1015890,2050,0
"182.65 -12.46",570,174,164,1016372,1298,0
"273.96 +37.67",5,206,6,1010587,7774,0
"245.83 +3.06",2144,178,365124,644917,6215,0
"243.17 -15.31",1550,186,2225,1002469,12148,0
"119.81 -0.90",3804,182,1086,1003270,10236,0
"176.7 -14.00",2855,181,3248,1007709,4585,0
"295.7 -2.22",5668,191,5442,991025,16252,0
"34.53 -12.59",1480,180,1083,1014307,1528,0
"278.29 -14.94",96069,294,20337,783853,118025,0
"160.84 -15.30",1723,175,1487,1008966,6227,0
"156.89 -5.57",523,178,278,1015082,2517,0
"73.78 -6.25",627,180,375,1015538,1858,0
"189.79 -12.58",1031,178,677,1014677,2015,0
"347.27 +78.16",1,215,5,1006240,12117,0
"356.09 +76.26",10,207,1,1008058,10302,0
"6.49 +77.26",2,187,6,1012235,6148,0
"11.69 -6.61",869,175,715,1014178,2641,0
"20.01 -9.67",1231,177,13,1014997,2160,0
"271.08 -6.46",388,179,5083,1011049,1879,0
"61.78 -12.05",414,176,252,1015302,2434,0
"253.21 -9.85",295,178,552,1014765,2788,0
"319.15 +0.65",1390,177,231,1013775,3005,0
"104.14 +1.08",3161,182,1664,998550,15021,0
"359.0 -11.56",16,177,656,1016868,861,0
"168.91 -8.21",369,181,2720,1012371,2937,0
"178.18 -14.01",210,178,205,1017226,759,0
"260.14 -2.53",1064,179,2161,1011329,3845,0
"327.4 -2.36",555,179,584,1013234,4026,0
"311.62 +0.62",3447,180,852,1005757,8342,0
"207.05 -10.56",488,175,988,1014457,2470,0
"226.4 -9.66",877,180,1361,1012676,3484,0
"234.94 -12.40",1173,182,371,1012732,4120,0
"325.58 +0.88",947,180,360,1013043,4048,0
"67.29 -14.87",291963,129,709,720711,5066,0
"165.35 -2.82",1592,176,331,1013625,2854,0
"252.86 -3.18",589,180,656,1013675,3478,0
"232.97 +0.94",583,179,646,1016084,1086,0
"76.64 +17.75",1,187,5,1009188,9197,0
"323.63 -1.89",1443,180,1615,1011543,3797,0
"71.24 -3.94",565,198,4064,1003477,10274,0
"236.15 -4.21",606,178,508,1016312,974,0
"237.07 -12.54",661,178,605,1014121,3013,0
"2.49 +49.16",6,207,12,999933,18420,0
"178.22 -4.12",761,173,440,1015169,2035,0
"109.11 -0.08",7500,180,639,993632,16627,0
"272.4 -12.26",9542,187,450,999399,9000,0
"242.96 +0.03",1120,183,1182,1012695,3398,0
"272.78 -20.86",2,205,4,979006,39361,0
"332.04 -1.07",700,180,482,1015353,1863,0
"346.94 -5.60",1199,182,327,1013999,2871,0
"175.64 -14.54",1204,175,123,1013407,3669,0
"32.2 -0.44",3705,187,2604,986383,25699,0
"321.14 -2.15",2281,179,437,1012327,3354,0
"284.2 -13.32",31772,194,6016,943662,36934,0
"10.41 +1.05",102,176,280,1017002,1018,0
"152.98 -5.68",448,177,349,1017247,357,0
"122.2 +2.64",8228,183,1385,1004284,4498,0
"314.84 -0.10",1828,177,365,1011388,4820,0
"41.45 -0.23",221,178,197,1016934,1048,0
"350.06 -3.75",680,177,389,1014468,2864,0
"65.79 -10.97",280,178,946,1015502,1672,0
"323.31 +31.18",7,192,8,1007808,10563,0
"131.2 -0.40",799,180,604,1012309,4686,0
"234.28 +17.17",3,201,5,1014640,3729,0
"80.77 +1.32",1582,203,3909,1005413,7471,0
"76.27 -9.32",418,181,696,1014445,2838,0
"132.9 +2.17",930,178,2159,1006168,9143,0
"197.72 -15.39",1553,183,1388,1010660,4794,0
"149.54 -7.67",1174,179,657,1013206,3362,0
"185.05 -11.65",16,174,230,1017870,288,0
"1.67 -9.15",139,179,164,1017020,1076,0
"287.23 +13.44",1,226,6,978420,39925,0
"289.29 -4.36",4876,192,3139,992759,17612,0
"132.96 +5.85",2,203,4,1016220,2149,0
"329.5 -5.26",285,173,220,1017313,587,0
"81.88 -11.77",307,178,1974,1012372,3747,0
"358.39 -6.99",331,176,227,1017440,404,0
"30.03 +37.15",1,192,2,1010046,8337,0
"155.83 +0.08",423,177,1091,1014127,2760,0
"276.27 -22.27",5,216,12,892281,126064,0
"353.25 -7.24",245,176,839,1015621,1697,0
"2.76 -1.20",543,175,377,1015899,1584,0
"127.67 -11.97",658,182,2092,1008323,7323,0
"137.08 -6.96",1214,178,239,1013874,3073,0
"4.85 -4.04",451,182,861,1015082,2002,0
"241.52 -9.86",264,179,246,1017006,883,0
"19.15 +60.94",2,212,7,1010849,7508,0
"359.71 +81.42",1,183,5,1012636,5753,0
"227.74 -4.39",611,179,974,1013895,2919,0
"165.69 -13.97",185,178,117,1016995,1103,0
"2.65 -5.61",609,179,67,1015457,2266,0
"151.17 -9.07",507,179,177,1016653,1062,0
"119.91 -9.85",9240,178,14,998276,10870,0
"223.98 +0.89",309,182,1353,1014410,2324,0
"154.59 -14.73",856,178,630,1013980,2934,0
"61.69 -7.42",355,183,628,1014306,3106,0
"78.98 +1.94",1233,179,1010,1012089,4067,0
"309.15 +3.18",2204,184,1088,1010923,4179,0
"233.07 -11.12",1751,177,1225,1011946,3479,0
"347.49 -6.07",1086,198,414,1013980,2900,0
"260.49 -8.86",697,179,1370,1011910,4422,0
"113.46 +0.23",1001,180,2403,1001550,13444,0
"59.91 -8.48",472,181,322,1016446,1157,0
"189.92 -3.57",361,178,87,1016739,1213,0
"282.38 -6.81",3,233,18,807390,210934,0
"5.66 -11.05",45,179,127,1018019,208,0
"291.76 +29.01",3,210,11,975964,42390,0
"20.06 +35.94",6,218,15,1016590,1749,0
"320.4 +0.80",1137,180,164,1015600,1497,0
"238.13 -6.45",1754,180,1275,1011421,3948,0
"22.45 +2.55",231,200,1090,1015513,1544,0
"206.13 -9.33",1979,182,2066,1005761,8590,0
"318.97 -5.17",753,178,425,1016175,1047,0
"164.77 -8.25",415,176,495,1015160,2332,0
"37.57 +57.71",1,186,6,1000861,17524,0
"48.55 -1.85",810,192,977,1013989,2610,0
"233.03 +1.43",566,181,390,1016507,934,0
"10.49 +0.33",99,178,181,1017795,325,0
"207.38 -12.17",117,176,1520,1014685,2080,0
"3.8 -1.95",561,178,201,1016960,678,0
"277.61 -4.39",102,178,1802,1013586,2910,0
"12.62 +75.40",2,190,7,1009195,9184,0
"12.75 -5.86",514,178,1191,1013861,2834,0
"201.31 -12.17",311,179,580,1015592,1916,0
"233.74 -7.87",425,180,341,1016634,998,0
"38.61 +0.41",726,178,140,1016186,1348,0
"96.89 -12.00",1191,186,4995,1003998,8208,0
"117.73 -16.24",2,237,17,965546,52776,0
"194.74 -7.34",802,180,1648,1008938,7010,0
"204.65 -0.54",969,183,262,1014582,2582,0
"138.83 +1.52",1754,179,563,1012200,3882,0
"2.69 +72.07",1,209,3,1002825,15540,0
"276.4 +1.00",721,179,5759,1007990,3929,0
"175.45 -7.50",150,174,303,1016537,1414,0
"156.85 -7.21",951,184,261,1011844,5338,0
"157.89 -8.22",687,173,218,1015280,2220,0
"239.42 -14.95",1027,192,1688,1011404,4267,0
"119.94 -11.00",16176,175,51,988342,13834,0
"235.49 -1.62",365,182,1045,1015372,1614,0
"257.3 -2.78",851,179,1416,1011910,4222,0
"76.89 +3.35",3,187,2,1006854,11532,0
"28.46 -6.46",268,176,380,1017065,689,0
"82.17 -13.65",13,182,1607,1015171,1605,0
"355.57 -0.59",48,175,89,1017925,341,0
"95.82 +17.53",2,190,4,996356,22026,0
"327.76 -6.37",472,179,425,1016283,1219,0
"47.8 -11.86",97,183,560,1016852,886,0
"55.08 -5.55",603,181,779,1015071,1944,0
"86.15 +1.75",2094,177,857,1008165,7285,0
"129.73 -7.27",1042,183,281,1014849,2223,0
"216.31 +0.69",244,179,676,1015536,1943,0
"236.18 -7.79",1867,178,216,1012652,3665,0
"285.13 -4.30",6,186,5,956896,61485,0
"250.39 -13.19",327,175,580,1016243,1253,0
"240.32 -14.29",1004,177,2022,1011003,4372,0
"101.98 +34.02",3,207,13,1007326,11029,0
"209.05 -5.45",573,172,716,1014856,2261,0
"171.21 -6.42",849,184,690,1015785,1070,0
"50.34 -9.19",834,183,363,1015269,1929,0
"291.05 +0.16",7033,191,4394,978268,28692,0
"63.36 -1.77",1079,180,757,1015108,1454,0
"32.62 -5.50",315,179,348,1017408,328,0
"263.63 +0.34",782,175,1053,1013256,3312,0
"225.89 -2.91",57,178,155,1017932,256,0
"321.86 +37.03",1,175,10,987945,30447,0
"70.56 +3.19",840,177,283,1014253,3025,0
"90.87 -5.26",2459,179,934,1009926,5080,0
"287.73 +43.94",4,182,9,1002234,16149,0
"323.17 -7.77",1277,175,626,1014936,1564,0
"103.04 -1.08",5219,184,1935,994711,16529,0
"166.3 -12.89",269,181,297,1016664,1167,0
"160.93 -2.70",419,177,221,1017065,696,0
"287.17 +20.08",3,208,2,1007284,11081,0
"309.3 +22.50",2,177,1,986507,31891,0
"203.66 -1.84",699,184,406,1015790,1499,0
"340.84 -0.08",142,178,492,1017223,543,0
"115.79 -14.27",5312,185,11414,977429,24238,0
"332.42 -8.01",686,176,1436,1010692,5588,0
"291.8 +28.91",1,185,1,979944,38447,0
"153.76 -12.70",622,174,336,1016142,1304,0
"316.25 +0.91",5510,175,305,1008773,3815,0
"212.72 -2.49",247,178,433,1015197,2523,0
"176.06 +82.67",4,187,3,1012462,5922,0
"271.4 -2.80",186,177,1031,1016615,569,0
"104.63 -1.22",7353,179,3416,981683,25947,0
"189.99 -1.00",594,179,363,1016310,1132,0
"82.47 -10.13",854,179,1060,1013663,2822,0
"95.06 -12.84",1423,179,980,1010637,5359,0
"4.26 +1.27",1221,177,426,1014153,2601,0
"184.62 -2.76",640,177,67,1015611,2083,0
